http://www.realestate3d.com/gps/uslatlongdegmin.htm
[UMT] 69.37 152.13 	69 22 12 	152 7 48 	Umiat,AK
[UNK] 63.88 160.80 	63 52 48 	160 48 0 	Unalakleet,AK
[VWS] 61.13 146.35 	61 7 48 	146 21 0 	Valdez,AK
[VDZ] 61.13 146.25 	61 7 48 	146 15 0 	Valdez2,AK
[AIN] 70.62 159.85 	70 37 12 	159 51 0 	Wainwright,AK
[WAA] 66.03 168.08 	66 1 47 	168 4 48 	Wales,AK
[5WT] 60.78 148.72 	60 46 47 	148 43 12 	Whittier,AK
[Z22] 61.75 150.05 	61 45 0 	150 3 0 	WillowArpt,AK
[WRG] 56.48 132.37 	56 28 47 	132 22 11 	Wrangell,AK
[YAK] 59.52 139.67 	59 31 12 	139 40 11 	Yakutat,AK

[DMA] 32.17 110.88 	32 10 11 	110 52 47 	Davis-MAFB,AZ
[DVT] 33.68 112.08 	33 40 48 	112 4 48 	DeerValley,AZ
[DUG] 31.45 109.60 	31 27 0 	109 35 59 	Douglas,AZ
[FFZ] 33.47 111.73 	33 28 12 	111 43 48 	FalconFld,AZ
[FLG] 35.13 111.67 	35 7 48 	111 40 11 	Flagstaff,AZ
[FHU] 31.60 110.35 	31 36 0 	110 20 59 	FortHuachuc,AZ
[GBN] 33.55 113.17 	33 32 59 	113 10 11 	GilaBend,AZ
[GYR] 33.42 112.38 	33 25 11 	112 22 47 	Goodyear,AZ
[GCN] 35.95 112.15 	35 57 0 	112 9 0 	GrandCanyon,AZ
[IGM] 35.27 113.95 	35 16 12 	113 56 59 	Kingman,AZ
[LUF] 33.53 112.38 	33 31 47 	112 22 47 	Luke,AZ
[PGA] 36.93 111.45 	36 55 48 	111 26 59 	Page,AZ
[0E4] 34.23 111.33 	34 13 47 	111 19 48 	Payson,AZ
[PHX] 33.43 112.02 	33 25 48 	112 1 11 	Phoenix,AZ
[PRC] 34.65 112.43 	34 39 0 	112 25 48 	Prescott,AZ
[E74] 32.82 109.68 	32 49 11 	109 40 48 	SaffordAwrs,AZ
[SDL] 33.62 111.92 	33 37 11 	111 55 11 	Scottsdale,AZ
[E03] 34.27 110.00 	34 16 12 	110 0 0 	ShowLow,AZ
[SOW] 34.27 110.00 	34 16 12 	110 0 0 	ShowLow,AZ
[TUS] 32.12 110.93 	32 7 11 	110 55 48 	Tucson,AZ
[CHD] 33.30 111.67 	33 17 59 	111 40 11 	WilliamsAFB,AZ
[INW] 35.02 110.73 	35 1 12 	110 43 48 	Winslow,AZ
[YUM] 33.10 115.00 	33 5 59 	115 0 0 	Yuma,AZ
[NYL] 32.65 114.62 	32 39 0 	114 37 12 	YumaMcas,AZ
[1Y7] 32.85 114.40 	32 50 59 	114 24 0 	YumaPrvGd,AZ

[BYH] 35.97 89.95 	35 58 12 	89 56 59 	Blytheville,AR
[CDH] 33.52 92.40 	33 31 12 	92 24 0 	Camden,AR
[ELD] 33.22 92.80 	33 13 12 	92 48 0 	ElDorado,AR
[FYV] 36.00 94.17 	36 0 0 		94 10 11 	Fayetteville,AR
